en, ru
"→ Downloaded {zip_name}", "→ Загружен {zip_name}"
"→ Extracted {zip_name}.", "→ Извлечен {zip_name}."
"Error: Instructions to download Source2Viewer binaries for your system is not available yet, click Help for instructions.", "Ошибка: Инструкции для загрузки исходных файлов Source2Viewer, для вашей системы еще не доступны, нажми Помощь для получения инструкции."
"Failed to start!", "Ошибка запуска!"
"Check 'logs\\crashlog.txt' for more info.", "Проверь'logs\\crashlog.txt' для дополнительной информации."
"All Minify mods have been removed.", "Все моды Minify были удалены."
"Please close Dota 2 first and then patch.", "Пожалуйста сначала закрой Dota 2, после чего приступай к патчу."
"→ Installing " + folder), "→ Устанавливаем " + folder)
"→ Downloaded latest OpenDotaGuides guides.", "→ Загружены новейшие гайды OpenDotaGuides."
"→ Replaced default guides with OpenDotaGuides guides.", "→ Стандартные гайды заменены на гайды OpenDotaGuides."
"→ Failed to download latest OpenDotaGuides guides.", "→ Не удалось загрузить новейшие гайды OpenDotaGuides."
"→ Decompiling", "→ Декомпиляция"
"→ Patching", "→ Патч",
"→ Compiling", "→ Компиляция"
"→ Done!", "→ Готово!"
"Remember to add '-language minify' to dota2 launch options", "Не забудь добавить '-language minify' в параметры запуска Dota 2"
"Click Help button below for instructions", "Нажми кнопку 'Помощь' для получения инструкции"
"Patching failed.", "Попытка патча не удалась."
"Check 'logs\\crashlog.txt' for more info.", "Проверьте 'logs\\crashlog.txt' для детальной информации."
"{len(warnings)} error occurred. Check logs\\warnings.txt for details.", "{len(warnings)} ошибка найдена. Проверьте logs\\warnings.txt для подробностей."
"{len(warnings)} errors occurred. Check logs\\warnings.txt for details.", "{len(warnings)} ошибки найдены. Проверьте логи\\warnings.txt для подробностей."
"Could not connect to Github", "Не удалось подключиться к Github"
"extracting: " + path, "извлечение: " + path
"Error: 'Steam is not installed on this system.", "Ошибка: 'Steam не установлен на этой системе."
"Error: Please close Dota 2 and restart Minify.", "Ошибка: Пожалуйста закрой Dota 2 и перезапусти Minify."
"Error: 'Source2Viewer-CLI.exe' not found, click Help for instructions.", "Ошибка: 'Source2Viewer-CLI.exe' не найден, нажми Помощь для получения инструкций."
"Error: 'libSkiaSharp.dll' not found, click Help for instructions.", "Ошибка: 'libSkiaSharp.dll' не найден, нажми Помощь для получения инструкций."
"Some mods have been grayed out because you don't have \n Workshop Tools installed. Click Help for instructions.", "Некоторые моды не доступны, потому-что не установлены \n Workshop Tools. нажми Помощь для получения инструкций."
"Missing 'files' folder in 'mods/{}'", "Не найдена папка 'files' в 'mods/{}'"
"Missing 'blacklist.txt' folder(file?) in 'mods/{}'", "Не найден файл 'blacklist.txt' в 'mods/{}'"
"Missing 'styling.txt' folder(file?) in 'mods/{}'", "Не найден файл 'styling.txt' в 'mods/{}'"